block,account,fees,src_port,src_channel
8398436,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,73341uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398439,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,42180uluna,07-tendermint-105,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398457,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,41911uluna,07-tendermint-105,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398458,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,55058uluna,07-tendermint-11,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398460,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,50315uluna,07-tendermint-11,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398463,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,50345uluna,07-tendermint-105,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398477,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,65517uluna,07-tendermint-11,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398502,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,65461uluna,07-tendermint-11,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398503,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,41939uluna,07-tendermint-105,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398533,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,42233uluna,07-tendermint-105,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398533,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,81341uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398537,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,76619uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
